,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3525,450000.0,1498.0,Third Party insurance,Manual,44200.0,First Owner,Diesel,98.6,5.0,26.0,Sedan,Kolkata,2014,Honda City,9.0
3526,700000.0,1582.0,Third Party insurance,Manual,56000.0,First Owner,Diesel,126.2,5.0,19.67,SUV,Kolkata,2016,Hyundai Creta,7.0
3527,450000.0,1498.0,Third Party insurance,Manual,55155.0,First Owner,Diesel,98.6,5.0,26.0,Sedan,Kolkata,2015,Honda City,8.0
3530,1050000.0,1497.0,Third Party,Manual,14000.0,First Owner,Petrol,113.43,5.0,16.8,SUV,Kolkata,2020,Kia Seltos,3.0
3531,350000.0,999.0,Third Party,Manual,11000.0,First Owner,Petrol,67.0,5.0,23.01,Hatchback,Kolkata,2019,Renault KWID,4.0
3532,1350000.0,1497.0,Comprehensive,Manual,11000.0,First Owner,Petrol,113.4,5.0,16.8,SUV,Kolkata,2021,Kia Seltos,2.0
3534,475000.0,1497.0,Third Party,Manual,23000.0,Second Owner,Petrol,117.3,5.0,17.8,Sedan,Kolkata,2016,Honda City,7.0
3536,650000.0,998.0,Third Party,Manual,9000.0,First Owner,Petrol,98.63,5.0,20.7,Hatchback,Kolkata,2021,Hyundai Grand,2.0
3537,765000.0,1197.0,Third Party,Automatic,5000.0,First Owner,Petrol,81.8,5.0,19.56,Hatchback,Kolkata,2021,Toyota Glanza,2.0
3539,799000.0,1591.0,Third Party,Manual,13000.0,First Owner,Petrol,121.3,5.0,17.0,Sedan,Kolkata,2018,Hyundai Verna,5.0
3540,525000.0,1498.0,Third Party,Manual,42000.0,Second Owner,Diesel,98.6,5.0,25.1,Sedan,Kolkata,2015,Honda City,8.0
3543,158000.0,1197.0,Third Party insurance,Manual,53562.0,Third Owner,Petrol,78.9,5.0,20.36,Hatchback,Kolkata,2009,Hyundai i10,14.0
3546,250000.0,1798.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,138.1,5.0,14.53,Sedan,Kolkata,2010,Toyota Corolla,13.0
3548,425000.0,1197.0,Third Party insurance,Manual,32190.0,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Kolkata,2019,Hyundai Grand,4.0
3550,450000.0,1497.0,Comprehensive,Manual,55000.0,First Owner,Petrol,117.3,7.0,17.3,MUV,Kolkata,2014,Honda Mobilio,9.0
3552,350000.0,998.0,Third Party insurance,Automatic,37000.0,First Owner,Petrol,67.0,5.0,20.51,Hatchback,Kolkata,2017,Maruti Wagon,6.0
